TEXAS					
index	POP	Location	Altitude	Latitude	Long
1	TX-MTP	"Mount Pleasant, Texas"	130	33.17453	94.98799
2	OK-RAT	"Rattan, Oklahoma"	138	34.15755	95.41325
3	TX-LIV	"Livingston, Texas"	83	30.69947	94.79981
4	LA-DER	"De Ridder, Lousiana"	67	30.8941	93.3143
5	TX-ATH	"Athens, Texas"	145	32.18471	95.8032
6	OK-WIL	"Willis, Oklahoma"	211	33.89663	96.83533
					
NORTH CAROLINA					
index	POP	Location	Altitude	Latitude	Long
1	SC-PRO	"Prosperity, South Carolina"	126	34.10792	81.43711
2	GA-BEL	"Belfast, Georgia"	15	31.84293	81.28405
3	GA-STA	"Statesboro, Georgia"	78	32.45237	81.84849
4	SC-BRA	"Branchville, South Carolina"	34	33.25082	80.80761
5	FL-HAM	"Hammock, Florida"	3	29.06816	82.64664
6	GA-GLA	"Gladys, Georgia"	97	31.48198	83.23783
