scalar	theta	mle
0.001	0.001	-58946.9
0.001	0.0011	-56430
0.001	0.0012	-54229.6
0.001	0.0013	-52291.2
0.001	0.0014	-50572.7
0.001	0.0015	-49041.1
0.001	0.0016	-47669.9
0.001	0.0017	-46437.6
0.001	0.0018	-45326.5
0.001	0.0019	-44322
0.001	0.002	-43411.6
0.001	0.0021	-42585.1
0.001	0.0022	-41833.4
0.001	0.0023	-41148.9
0.001	0.0024	-40525
0.001	0.0025	-39955.9
0.001	0.0026	-39436.7
0.001	0.0027	-38962.8
0.001	0.0028	-38530.3
0.001	0.0029	-38135.8
0.001	0.003	-37776.2
0.001	0.0031	-37448.8
0.001	0.0032	-37150.9
0.001	0.0033	-36880.5
0.001	0.0034	-36635.5
0.001	0.0035	-36414.1
0.001	0.0036	-36214.6
0.001	0.0037	-36035.5
0.001	0.0038	-35875.4
0.001	0.0039	-35733.2
0.001	0.004	-35607.6
0.001	0.0041	-35497.6
0.001	0.0042	-35402.2
0.001	0.0043	-35320.6
0.001	0.0044	-35251.8
0.001	0.0045	-35195.2
0.001	0.0046	-35150.1
0.001	0.0047	-35115.7
0.001	0.0048	-35091.5
0.001	0.0049	-35076.9
0.001	0.005	-35071.4
0.001	0.0051	-35074.6
0.001	0.0052	-35085.8
0.001	0.0053	-35104.8
0.001	0.0054	-35131
0.001	0.0055	-35164.3
0.001	0.0056	-35204.1
0.001	0.0057	-35250.1
0.001	0.0058	-35302.1
0.001	0.0059	-35359.7
0.001	0.006	-35422.8
0.001	0.0061	-35490.9
0.001	0.0062	-35563.9
0.001	0.0063	-35641.6
0.001	0.0064	-35723.6
0.001	0.0065	-35810
0.001	0.0066	-35900.3
0.001	0.0067	-35994.5
0.001	0.0068	-36092.3
0.001	0.0069	-36193.6
0.001	0.007	-36298.3
0.001	0.0071	-36406.2
0.001	0.0072	-36517.1
0.001	0.0073	-36631
0.001	0.0074	-36747.6
0.001	0.0075	-36867
0.001	0.0076	-36988.8
0.001	0.0077	-37113.2
0.001	0.0078	-37239.8
0.001	0.0079	-37368.7
0.001	0.008	-37499.8
0.001	0.0081	-37632.9
0.001	0.0082	-37767.9
0.001	0.0083	-37904.9
0.001	0.0084	-38043.6
0.001	0.0085	-38184.1
0.001	0.0086	-38326.3
0.001	0.0087	-38470
0.001	0.0088	-38615.2
0.001	0.0089	-38761.9
0.001	0.009	-38910
0.001	0.0091	-39059.4
