,npoly,thetapi,thetaw
0,40,11.166666666666668,10.71153654749312
1,52,16.77898550724638,13.924997511741056
2,58,14.278985507246377,15.531727993865024
3,56,16.26811594202899,14.99615116649037
4,71,18.724637681159415,19.01297737180029
5,65,18.126811594202902,17.40624688967632
6,46,11.637681159420291,12.318267029617088
7,65,18.7536231884058,17.40624688967632
8,49,13.376811594202898,13.121632270679072
9,46,11.159420289855076,12.318267029617088
10,53,15.423913043478267,14.192785925428385
11,74,22.3840579710145,19.81634261286227
12,58,15.590579710144928,15.531727993865024
13,60,18.452898550724637,16.06730482123968
14,49,11.760869565217394,13.121632270679072
15,44,12.126811594202902,11.782690202242433
16,46,12.775362318840587,12.318267029617088
17,64,19.119565217391305,17.138458475988994
18,56,15.369565217391305,14.99615116649037
19,61,16.721014492753632,16.335093234927008
20,53,13.663043478260871,14.192785925428385
21,70,17.945652173913043,18.745188958112962
22,65,16.905797101449274,17.40624688967632
23,54,15.010869565217398,14.460574339115713
0,61,16.659420289855074,16.335093234927008
1,57,15.851449275362326,15.263939580177697
2,63,15.413043478260875,16.870670062301663
3,56,12.82971014492754,14.99615116649037
4,49,12.894927536231883,13.121632270679072
5,65,16.525362318840582,17.40624688967632
6,51,13.06159420289855,13.657209098053729
7,44,10.474637681159422,11.782690202242433
8,53,15.14130434782609,14.192785925428385
9,70,16.826086956521735,18.745188958112962
10,62,17.06521739130435,16.602881648614336
11,51,11.481884057971017,13.657209098053729
12,41,11.228260869565217,10.979324961180449
13,46,12.268115942028986,12.318267029617088
14,60,14.398550724637685,16.06730482123968
15,52,11.73188405797102,13.924997511741056
16,50,11.688405797101455,13.389420684366401
17,51,14.525362318840584,13.657209098053729
18,66,18.228260869565222,17.67403530336365
19,53,16.083333333333336,14.192785925428385
20,61,18.876811594202906,16.335093234927008
21,53,14.652173913043477,14.192785925428385
22,46,9.90217391304348,12.318267029617088
23,53,15.474637681159424,14.192785925428385
0,55,16.039855072463777,14.72836275280304
1,57,14.21014492753624,15.263939580177697
2,60,18.804347826086964,16.06730482123968
3,44,12.902173913043482,11.782690202242433
4,53,15.844202898550732,14.192785925428385
5,60,17.02898550724638,16.06730482123968
6,58,15.300724637681167,15.531727993865024
7,62,16.15217391304348,16.602881648614336
8,63,16.112318840579718,16.870670062301663
9,54,13.771739130434788,14.460574339115713
10,70,19.18478260869566,18.745188958112962
11,43,11.829710144927539,11.514901788555104
12,66,18.833333333333336,17.67403530336365
13,55,13.996376811594205,14.72836275280304
14,58,13.793478260869565,15.531727993865024
15,53,16.510869565217394,14.192785925428385
16,47,11.275362318840576,12.586055443304417
17,60,16.32246376811595,16.06730482123968
18,51,14.58333333333334,13.657209098053729
19,52,14.612318840579713,13.924997511741056
20,58,15.217391304347835,15.531727993865024
21,43,11.496376811594203,11.514901788555104
22,68,17.652173913043484,18.209612130738304
23,44,12.2536231884058,11.782690202242433
0,57,17.39492753623189,15.263939580177697
1,39,10.25,10.443748133805792
2,57,16.090579710144933,15.263939580177697
3,49,11.08695652173913,13.121632270679072
4,57,13.413043478260875,15.263939580177697
5,55,16.010869565217394,14.72836275280304
6,50,14.076086956521744,13.389420684366401
7,55,15.239130434782613,14.72836275280304
8,59,15.681159420289859,15.799516407552353
9,60,17.61231884057971,16.06730482123968
10,50,10.963768115942031,13.389420684366401
11,64,18.369565217391305,17.138458475988994
12,54,14.891304347826097,14.460574339115713
13,50,14.18115942028986,13.389420684366401
14,39,11.094202898550723,10.443748133805792
15,54,15.579710144927539,14.460574339115713
16,48,10.60869565217392,12.853843856991745
17,47,13.08695652173913,12.586055443304417
18,64,16.105072463768124,17.138458475988994
19,63,16.576086956521745,16.870670062301663
20,62,17.032608695652176,16.602881648614336
21,45,10.521739130434785,12.05047861592976
22,64,17.64492753623189,17.138458475988994
23,64,17.89492753623189,17.138458475988994
0,56,14.04347826086957,14.99615116649037
1,70,16.612318840579718,18.745188958112962
2,46,12.467391304347833,12.318267029617088
3,60,16.724637681159425,16.06730482123968
4,57,14.731884057971019,15.263939580177697
5,58,16.53623188405797,15.531727993865024
6,45,13.199275362318843,12.05047861592976
7,57,16.862318840579714,15.263939580177697
8,43,11.224637681159422,11.514901788555104
9,60,15.742753623188413,16.06730482123968
10,41,10.572463768115941,10.979324961180449
11,44,11.865942028985508,11.782690202242433
12,49,13.032608695652177,13.121632270679072
13,51,14.641304347826093,13.657209098053729
14,62,19.695652173913032,16.602881648614336
15,53,14.311594202898553,14.192785925428385
16,57,14.49275362318841,15.263939580177697
17,50,14.811594202898554,13.389420684366401
18,42,10.724637681159422,11.247113374867777
19,65,19.92753623188407,17.40624688967632
20,50,15.833333333333343,13.389420684366401
21,44,12.641304347826091,11.782690202242433
22,68,18.329710144927546,18.209612130738304
23,54,15.735507246376814,14.460574339115713
0,53,15.300724637681164,14.192785925428385
1,53,15.815217391304353,14.192785925428385
2,54,15.597826086956525,14.460574339115713
3,70,21.02536231884057,18.745188958112962
4,62,15.30434782608696,16.602881648614336
5,57,13.398550724637683,15.263939580177697
6,46,12.724637681159427,12.318267029617088
7,57,14.159420289855078,15.263939580177697
8,60,15.601449275362318,16.06730482123968
9,51,11.91304347826087,13.657209098053729
10,41,11.927536231884062,10.979324961180449
11,63,17.61594202898552,16.870670062301663
12,44,10.84057971014493,11.782690202242433
13,62,16.681159420289852,16.602881648614336
14,49,12.615942028985508,13.121632270679072
15,77,19.568840579710145,20.619707853924258
16,58,17.51086956521739,15.531727993865024
17,42,11.467391304347826,11.247113374867777
18,51,13.036231884057973,13.657209098053729
19,79,23.05072463768117,21.155284681298912
20,43,12.289855072463768,11.514901788555104
21,52,14.826086956521747,13.924997511741056
22,50,15.181159420289859,13.389420684366401
23,58,15.27898550724638,15.531727993865024
0,48,10.931159420289855,12.853843856991745
1,51,14.920289855072465,13.657209098053729
2,50,11.8840579710145,13.389420684366401
3,47,12.894927536231886,12.586055443304417
4,61,17.02173913043479,16.335093234927008
5,43,10.757246376811597,11.514901788555104
6,52,13.757246376811597,13.924997511741056
7,42,11.394927536231888,11.247113374867777
8,53,16.648550724637687,14.192785925428385
9,46,13.438405797101453,12.318267029617088
10,63,16.329710144927542,16.870670062301663
11,47,12.3840579710145,12.586055443304417
12,70,16.77898550724639,18.745188958112962
13,56,14.39130434782609,14.99615116649037
14,53,14.021739130434787,14.192785925428385
15,53,15.362318840579718,14.192785925428385
16,59,17.144927536231886,15.799516407552353
17,47,13.119565217391306,12.586055443304417
18,46,11.568840579710148,12.318267029617088
19,62,14.945652173913041,16.602881648614336
20,80,21.728260869565222,21.42307309498624
