,npoly,thetapi,thetaw
0,17,2.7826086956521743,4.552403032684576
1,12,3.4311594202898554,3.213460964247936
2,12,3.231884057971014,3.213460964247936
3,18,4.369565217391305,4.820191446371904
4,22,7.322463768115942,5.891345101121217
5,17,6.097826086956522,4.552403032684576
6,22,4.416666666666667,5.891345101121217
7,28,9.003623188405799,7.498075583245185
8,17,2.2028985507246372,4.552403032684576
9,12,1.648550724637681,3.213460964247936
10,30,11.315217391304348,8.03365241061984
11,15,5.315217391304349,4.01682620530992
12,25,4.775362318840578,6.694710342183201
13,16,3.945652173913044,4.2846146189972485
14,17,2.91304347826087,4.552403032684576
15,15,3.2862318840579707,4.01682620530992
16,18,4.249999999999999,4.820191446371904
17,15,3.9384057971014483,4.01682620530992
18,15,4.905797101449275,4.01682620530992
19,18,5.282608695652176,4.820191446371904
20,18,3.9601449275362315,4.820191446371904
21,16,4.92391304347826,4.2846146189972485
22,10,2.847826086956522,2.67788413687328
23,8,1.9963768115942027,2.1423073094986242
0,21,6.442028985507246,5.623556687433888
1,10,1.8731884057971013,2.67788413687328
2,23,4.960144927536231,6.159133514808544
3,25,9.094202898550723,6.694710342183201
4,21,5.579710144927534,5.623556687433888
5,18,4.510869565217392,4.820191446371904
6,8,1.5326086956521738,2.1423073094986242
7,12,3.413043478260869,3.213460964247936
8,25,9.365942028985508,6.694710342183201
9,14,3.5036231884057973,3.7490377916225923
10,13,4.018115942028985,3.481249377935264
11,15,4.11231884057971,4.01682620530992
12,9,2.318840579710145,2.410095723185952
13,32,12.271739130434785,8.569229237994497
14,15,4.19927536231884,4.01682620530992
15,12,3.9492753623188404,3.213460964247936
16,32,8.865942028985506,8.569229237994497
17,9,2.746376811594203,2.410095723185952
18,8,1.4420289855072461,2.1423073094986242
19,11,1.8876811594202898,2.9456725505606083
20,19,4.826086956521739,5.0879798600592325
21,19,6.134057971014493,5.0879798600592325
22,16,2.985507246376811,4.2846146189972485
23,16,4.079710144927535,4.2846146189972485
0,13,2.1847826086956523,3.481249377935264
1,16,5.365942028985508,4.2846146189972485
2,21,3.264492753623189,5.623556687433888
3,13,2.807971014492754,3.481249377935264
4,29,7.076086956521738,7.765863996932512
5,11,2.684782608695652,2.9456725505606083
6,10,2.7065217391304346,2.67788413687328
7,10,3.5507246376811588,2.67788413687328
8,20,6.663043478260868,5.35576827374656
9,20,2.115942028985507,5.35576827374656
10,3,0.6847826086956522,0.803365241061984
11,14,3.7246376811594204,3.7490377916225923
12,13,2.923913043478261,3.481249377935264
13,20,4.7644927536231885,5.35576827374656
14,27,7.615942028985504,7.230287169557856
15,24,6.902173913043477,6.426921928495872
16,11,3.2898550724637676,2.9456725505606083
17,9,2.039855072463768,2.410095723185952
18,16,3.108695652173913,4.2846146189972485
19,14,2.173913043478261,3.7490377916225923
20,16,4.065217391304347,4.2846146189972485
21,20,4.217391304347826,5.35576827374656
22,28,8.768115942028986,7.498075583245185
23,32,9.155797101449274,8.569229237994497
0,6,1.1304347826086956,1.606730482123968
