YAratio,mle
0.00525,-4.3
0.00775,-2.5
0.01025,-1.5
0.01275,-0.9
0.01525,-0.5
0.01775,-0.3
0.02025,-0.2
0.02275,-0.1
0.02525,0
0.02775,0
0.03025,0
0.03275,-0.1
0.03525,-0.1
0.03775,-0.2
0.04025,-0.2
0.04275,-0.3
0.04525,-0.3
0.04775,-0.4
0.05025,-0.5
0.05275,-0.6
0.05525,-0.7
0.05775,-0.7
0.06025,-0.8
0.06275,-0.9
0.06525,-1
0.06775,-1.1
0.07025,-1.1
0.07275,-1.2
0.07525,-1.3
0.07775,-1.4
0.08025,-1.5
0.08275,-1.6
0.08525,-1.6
0.08775,-1.7
0.09025,-1.8
0.09275,-1.9
0.09525,-1.9
0.09775,-2
0.10025,-2.1
0.10275,-2.2
0.10525,-2.2
0.10775,-2.3
0.11025,-2.4
0.11275,-2.4
0.11525,-2.5
0.11775,-2.6
0.12025,-2.7
0.12275,-2.7
0.12525,-2.8
0.12775,-2.8
0.13025,-2.9
0.13275,-3
0.13525,-3
0.13775,-3.1
0.14025,-3.2
0.14275,-3.2
0.14525,-3.3
0.14775,-3.3
0.15025,-3.4
0.15275,-3.5
0.15525,-3.5
0.15775,-3.6
0.16025,-3.6
0.16275,-3.7
0.16525,-3.7
0.16775,-3.8
0.17025,-3.9
0.17275,-3.9
0.17525,-4
0.17775,-4
0.18025,-4.1
0.18275,-4.1
0.18525,-4.2
0.18775,-4.2
0.19025,-4.3
0.19275,-4.3
0.19525,-4.4
0.19775,-4.4
0.20025,-4.5
0.20275,-4.5
0.20525,-4.6
0.20775,-4.6
0.21025,-4.7
0.21275,-4.7
0.21525,-4.8
0.21775,-4.8
0.22025,-4.8
0.22275,-4.9
0.22525,-4.9
0.23025,-5
