locus, samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  
11708,6,68.28571429,0,0,0,0,0,0,0,0,48.85714286,0,0,,,,210.7142857,0,0,,1,0,0,0.004745763,0.004760841,
15548,6,238.7857143,0,0,0,2,0,0,0.00837571,0.00842283,164.047619,0.006095791,0.006120698,,,,817.2142857,0.000535914,1,,6,0.00040789,0.000408001,0.00754596,0.007584178,-0.933020529
29387,6,56,0,0,0,3,0,0,0.053571429,0.055580979,37.33333333,0.026785714,0.027275733,,,,178,0,0,,2,0,0,0.011235955,0.01132097,
10211,6,242.047619,0.007237521,4,1.751824726,10,0.008813693,0.008865889,0.048199882,0.049818431,177.3809524,0.045100671,0.046513657,1.180586266,,,756.952381,0,0,,1,0,0,0.001321087,0.001322252,
3111,6,65.85714286,0.019950283,3,1.313868638,4,0.01923355,0.019484469,0.093637021,0.100019437,43.38095238,0.046103183,0.047581071,-0.185444715,,,213.1428571,0,0,,2,0,0,0.009383378,0.009442571,
2327,6,357.2619048,0,0,0,18,0,0,0.050383206,0.052155343,254.4285714,0.043234138,0.044530325,,,,1136.738095,0,0,,12,0,0,0.010556521,0.010631519,
4857,6,363.1666667,0,0,0,3,0,0,0.00826067,0.008306499,259.2380952,0.007714916,0.00775487,,,,1151.833333,0.000760451,2,,3,0.000578787,0.000579011,0.002893937,0.002899535,-1.131972245
3170,6,1036.380952,0.001267747,3,1.313868843,17,0.001157875,0.00115877,0.017046499,0.017243207,732.0952381,0.01639131,0.01657308,-0.447361477,,,3394.619048,0.000516059,4,,38,0.000392778,0.000392881,0.011390576,0.011477959,-1.295030853
2290,6,345.5,0.002535202,2,0.875912291,10,0.003087313,0.003093685,0.031837916,0.032533439,224.047619,0.031243358,0.03191278,1.031937488,,,1226.5,0.000714156,2,,6,0.000706618,0.000706951,0.005299633,0.005318446,-0.050017378
8416,6,462.0952381,0.000947762,1,0.437956307,2,0.000721352,0.000721699,0.004688788,0.004703506,298.2380952,0.003353026,0.003360543,-0.933020529,,,1520.904762,0.000863873,3,,3,0.000789004,0.000789419,0.002630013,0.002634636,-0.447361477
10727,6,729.8333333,0.003600462,6,2.627737183,0,0.003379767,0.003387405,0.002055264,0.002058085,471.5714286,0,0,-0.350840548,,,2465.166667,0.000888289,5,,0,0.000919478,0.000920042,0.000540869,0.000541065,0.196505139
12097,6,302.4285714,0.001448131,1,0.43795619,5,0.001763502,0.001765578,0.018737207,0.018975235,193.7619048,0.025804866,0.026259246,0.850567552,,,972.5714286,0,0,,7,0,0,0.007197415,0.007232173,
5256,6,102.5238095,0,0,0,2,0,0,0.019507664,0.01976585,69.33333333,0.028846154,0.029415535,,,,386.4761905,0.001133204,1,,1,0.00137999,0.001381261,0.003449975,0.003457935,0.850567552
6944,6,244.0952381,0.001794202,1,0.437956164,5,0.001365587,0.001366832,0.021166602,0.021471026,166.6666667,0.018,0.018219519,-0.933020529,,,793.9047619,0.001654945,3,,4,0.001511516,0.001513041,0.005878119,0.005901275,-0.447361477
329,6,324.3095238,0,0,0,5,0,0,0.01541737,0.015578039,246.3333333,0.01623816,0.016416524,,,,953.6904762,0.000918445,2,,8,0.000699039,0.000699365,0.008737985,0.008789286,-1.131972245
309,6,347.8095238,0.003777552,3,1.313868562,6,0.004025192,0.004036032,0.020605148,0.020893489,220.1428571,0.00908501,0.009140483,0.338388809,,,1236.190476,0.002125673,6,,10,0.00242681,0.002430745,0.009572419,0.009634031,0.810855043
3927,6,560.8571429,0.003904347,5,2.189780903,6,0.002971642,0.002977545,0.012183732,0.01228378,343.3333333,0.008737864,0.008789163,-1.336981166,,,1959.142857,0,0,,5,0,0,0.002552137,0.002556489,
4539,6,721.9047619,0.003033338,5,2.189781147,8,0.003139842,0.003146432,0.013852243,0.013981763,472.1428571,0.006354009,0.006381078,0.196505139,,,2485.095238,0.0005287,3,,12,0.000402399,0.000402507,0.005029988,0.005046931,-1.233111763
3130,6,413.9285714,0.004232191,4,1.751824775,2,0.003221168,0.003228105,0.006442335,0.006470164,280.8095238,0.007122266,0.007156299,-1.295030853,,,1332.071429,0,0,,2,0,0,0.001501421,0.001502926,
