locus , samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  , Fu&LiD_Reptot , locus , samp_sizetot_NMX , SynSitestot_NMX , theta_syntot_NMX , S_Syntot_NMX ,  S_Syn_freq_NMX> , D_Syntot_NMX  , pi_Syntot_NMX  , pi_JC_Syntot_NMX  , Dxy_Syntot_NMX  , Dxy_JC_Syntot_NMX , SynSites_4-foldtot_NMX  , D_4-foldtot_NMX , D_JC_4-foldtot_NMX , TajD_Syntot_NMX  , Fu&LiD_Syntot_NMX ,, RepSitestot_NMX  , theta_reptot_NMX , S_Reptot_NMX  , S_Rep_freq_NMX> , D_Reptot_NMX  , pi_Reptot_NMX  , pi_JC_Reptot_NMX  , Dxy_Reptot_NMX  , Dxy_JC_Reptot_NMX  , TajD_Reptot_NMX  , Fu&LiD_Reptot_NMX , samp_sizetot_NMY , SynSitestot_NMY , theta_syntot_NMY , S_Syntot_NMY ,  S_Syn_freq_NMY> , D_Syntot_NMY  , pi_Syntot_NMY  , pi_JC_Syntot_NMY  , Dxy_Syntot_NMY  , Dxy_JC_Syntot_NMY , SynSites_4-foldtot_NMY  , D_4-foldtot_NMY , D_JC_4-foldtot_NMY , TajD_Syntot_NMY  , Fu&LiD_Syntot_NMY ,, RepSitestot_NMY  , theta_reptot_NMY , S_Reptot_NMY  , S_Rep_freq_NMY> , D_Reptot_NMY  , pi_Reptot_NMY  , pi_JC_Reptot_NMY  , Dxy_Reptot_NMY  , Dxy_JC_Reptot_NMY  , TajD_Reptot_NMY  , Fu&LiD_Reptot_NMY samp_sizetot_TMX , SynSitestot_TMX , theta_syntot_TMX , S_Syntot_TMX ,  S_Syn_freq_TMX> , D_Syntot_TMX  , pi_Syntot_TMX  , pi_JC_Syntot_TMX  , Dxy_Syntot_TMX  , Dxy_JC_Syntot_TMX , SynSites_4-foldtot_TMX  , D_4-foldtot_TMX , D_JC_4-foldtot_TMX , TajD_Syntot_TMX  , Fu&LiD_Syntot_TMX ,, RepSitestot_TMX  , theta_reptot_TMX , S_Reptot_TMX  , S_Rep_freq_TMX> , D_Reptot_TMX  , pi_Reptot_TMX  , pi_JC_Reptot_TMX  , Dxy_Reptot_TMX  , Dxy_JC_Reptot_TMX  , TajD_Reptot_TMX  , Fu&LiD_Reptot_TMX samp_sizetot_TMY , SynSitestot_TMY , theta_syntot_TMY , S_Syntot_TMY ,  S_Syn_freq_TMY> , D_Syntot_TMY  , pi_Syntot_TMY  , pi_JC_Syntot_TMY  , Dxy_Syntot_TMY  , Dxy_JC_Syntot_TMY , SynSites_4-foldtot_TMY  , D_4-foldtot_TMY , D_JC_4-foldtot_TMY , TajD_Syntot_TMY  , Fu&LiD_Syntot_TMY ,, RepSitestot_TMY  , theta_reptot_TMY , S_Reptot_TMY  , S_Rep_freq_TMY> , D_Reptot_TMY  , pi_Reptot_TMY  , pi_JC_Reptot_TMY  , Dxy_Reptot_TMY  , Dxy_JC_Reptot_TMY  , TajD_Reptot_TMY  , Fu&LiD_Reptot_TMY 
Locus_10016_Transcri,24,209.8333333,0.003828587,3,,0,0.002935387,0.002941146,0.001588562,0.001590247,143.6666667,0,0,-0.586803885,,,696.1666667,0,0,,0,0,0,0,0,,Locus_10016_Transcri,6,209.8333333,0,0,,0,0,0,0,0,143.6666667,0,0,,,,696.1666667,0,0,,0,0,0,0,0,,Locus_10016_Transcri,6,209.8333333,0,0,,0,0,0,0,0,143.6666667,0,0,,,,696.1666667,0,0,,0,0,0,0,0,,Locus_10016_Transcri,6,209.8333333,0.006261487,3,,0,0.008260524,0.008306352,0.006354249,0.00638132,143.6666667,0,0,1.64797262,,,696.1666667,0,0,,0,0,0,0,0,,Locus_10016_Transcri,6,209.8333333,0,0,,0,0,0,0,0,143.6666667,0,0,,,,696.1666667,0,0,,0,0,0,0,0,
Locus_10025_Transcri,12,414.0641026,0.013595401,17,,0,0.01814973,0.018372947,0.021333251,0.021642535,259.025641,0,0,1.453608839,,,1448.935897,0.00639911,28,,0,0.008815247,0.008867462,0.00960475,0.009666781,1.69268639,Locus_10025_Transcri,6,414.047619,0.006346461,6,,8,0.005796435,0.00581895,0.029787234,0.030394897,258.0952381,0.011623616,0.01171463,-0.496052497,,,1448.952381,0.001511286,5,,15,0.001288287,0.001289395,0.012882871,0.0129948,-0.825819065,Locus_10025_Transcri,6,414.8333333,0.006334441,6,,0,0.007713941,0.007753885,0.009642427,0.009704947,261.0952381,0,0,1.24649089,,,1448.166667,0.003326632,11,,0,0.003959029,0.003969515,0.004603522,0.004617708,1.149704102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus_1002_Transcrip,24,114.4733333,0.002339308,1,,0,0.000727972,0.000728325,0.000363986,0.000364074,74.66666667,0,0,-1.159334928,,,389.5266667,0.000687471,1,,0,0.000213935,0.000213965,0.000106967,0.000106975,-1.159334928,Locus_1002_Transcrip,6,114.5,0,0,,0,0,0,0,0,74.66666667,0,0,,,,389.5,0,0,,0,0,0,0,0,,Locus_1002_Transcrip,6,114.5,0,0,,0,0,0,0,0,74.66666667,0,0,,,,389.5,0,0,,0,0,0,0,0,,Locus_1002_Transcrip,6,114.5,0,0,,0,0,0,0,0,74.66666667,0,0,,,,389.5,0,0,,0,0,0,0,0,,Locus_1002_Transcrip,6,114.4047619,0.003828129,1,,0,0.002913632,0.002919306,0.001456816,0.001458233,74.66666667,0,0,-0.933020529,,,389.5952381,0.001124131,1,,0,0.000855589,0.000856077,0.000427794,0.000427916,-0.933020529
Locus_10051_Transcri,24,426.6733333,0.010041909,16,,0,0.009672064,0.009734971,0.012011531,0.012108755,292.9466667,0,0,-0.131143387,,,1373.326667,0.002924888,15,,0,0.003081484,0.003087832,0.004733033,0.00474803,0.189184829,Locus_10051_Transcri,6,426.7619048,0.003078692,3,,5,0.002811872,0.002817157,0.014059362,0.014192809,293.0952381,0.010235581,0.010306068,-0.447361477,,,1373.238095,0,0,,8,0,0,0.005825647,0.00584839,,Locus_10051_Transcri,6,426.8571429,0.004104007,4,,0,0.004997769,0.005014495,0.006247211,0.006273375,292.9047619,0,0,1.180586266,,,1373.142857,0.001275778,4,,0,0.001553614,0.001555225,0.001942017,0.001944536,1.180586266,Locus_10051_Transcri,6,426.452381,0.005134878,5,,5,0.005315169,0.005334093,0.014851209,0.015000218,292.3333333,0.010262258,0.010333114,0.196505139,,,1373.547619,0.001275402,4,,8,0.001116331,0.001117162,0.006431035,0.006458766,-0.676126573,Locus_10051_Transcri,6,426.6666667,0.00102646,1,,4,0.00125,0.001251043,0.0109375,0.011018037,293.1904762,0.006821504,0.006852715,0.850567552,,,1373.333333,0.0003189,1,,5,0.000242718,0.000242758,0.003762136,0.003771603,-0.933020529
Locus_10081_Transcri,8,392.7962963,0.015709921,16,,0,0.018639251,0.018874775,0.013683938,0.013810311,281.7777778,0,0,0.958159952,,,1245.203704,0.002787555,9,,0,0.002667378,0.002672132,0.002108089,0.002111057,-0.211184954,Locus_10081_Transcri,3,392.5833333,0.020377839,12,,1,0.020377839,0.020659796,0.015283379,0.015441249,281.5,0.003552398,0.003560838,,,,1245.416667,0.003211777,6,,0,0.003211777,0.003218673,0.001605888,0.00160761,,Locus_10081_Transcri,3,392.9166667,0.013573701,8,,2,0.013573701,0.013698034,0.013573701,0.013698034,282.0833333,0.003545052,0.003553456,,,,1245.083333,0.001606318,3,,0,0.001606318,0.001608041,0.001070879,0.001071644,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus_10146_Transcri,24,26,0,0,,0,0,0,0,0,18.66666667,0,0,,,,88,0.0060861,2,,0,0.011651845,0.011743303,0.012784091,0.0128943,2.010987516,Locus_10146_Transcri,6,26,0,0,,0,0,0,0,0,18.66666667,0,0,,,,88,0,0,,2,0,0,0.022727273,0.023078744,,Locus_10146_Transcri,6,26,0,0,,0,0,0,0,0,18.66666667,0,0,,,,88,0,0,,0,0,0,0,0,,Locus_10146_Transcri,6,26,0,0,,0,0,0,0,0,18.66666667,0,0,,,,88,0,0,,2,0,0,0.022727273,0.023078744,,Locus_10146_Transcri,6,26,0,0,,0,0,0,0,0,18.66666667,0,0,,,,88,0.004976775,1,,0,0.003787879,0.003797476,0.001893939,0.001896335,-0.933020529
Locus_10211_Transcri,24,242.16,0.030963312,28,,0,0.03212333,0.032831565,0.031143321,0.031808402,177.5466667,0,0,0.140563229,,,756.84,0.002830595,8,,0,0.002053734,0.002056551,0.001486444,0.001487919,-0.880548124,Locus_10211_Transcri,6,242.047619,0.007237521,4,,10,0.008813693,0.008865889,0.048199882,0.049818431,177.3809524,0.045100671,0.046513657,1.180586266,,,756.952381,0,0,,1,0,0,0.001321087,0.001322252,,Locus_10211_Transcri,6,242.3333333,0.003614494,2,,0,0.004401651,0.004414618,0.005502063,0.005522344,177.6666667,0,0,1.031937488,,,756.6666667,0,0,,0,0,0,0,0,,Locus_10211_Transcri,6,242.047619,0.021712564,12,,10,0.018729097,0.018966917,0.0523313,0.054246644,177.5714286,0.045052293,0.046462186,-0.835903321,,,756.952381,0.002892891,5,,1,0.002554102,0.002558461,0.002862355,0.002867831,-0.655431697,Locus_10211_Transcri,6,242.3333333,0,0,,3,0,0,0.012379642,0.012482951,177.6666667,0.016885553,0.017078537,,,,756.6666667,0.000578797,1,,1,0.000440529,0.000440658,0.00154185,0.001543437,-0.933020529
Locus_10251_Transcri,2,243.2222222,0.028780265,7,,0,0.028780265,0.029347014,0.014390132,0.014529975,146.3333333,0,0,,,,908.7777778,0.023107959,21,,0,0.023107959,0.02347143,0.01155398,0.011643901,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus_10275_Transcri,2,246.4444444,0.23128945,57,,13,0.23128945,0.276545389,0.16839495,0.190711199,175.6666667,0.051233397,0.053067316,,,,806.5555556,0.024796804,20,,10,0.024796804,0.02521599,0.024796804,0.02521599,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locus_10286_Transcri,24,100.78,0.01594295,6,,0,0.01006641,0.010134575,0.014883906,0.015033576,72.56,0,0,-1.114766357,,,316.22,0.006774737,8,,0,0.005671616,0.005693169,0.00988236,0.009948045,-0.52241825,Locus_10286_Transcri,6,100.8809524,0.004341317,1,,1,0.003304225,0.003311525,0.011564786,0.011654877,73,0.01369863,0.013825276,-0.933020529,,,316.1190476,0.001385415,1,,3,0.001054455,0.001055197,0.010017323,0.010084823,-0.933020529,Locus_10286_Transcri,6,101.1666667,0.004329056,1,,0,0.005271829,0.005290444,0.006589786,0.006618907,73,0,0,0.850567552,,,315.8333333,0.002773337,2,,0,0.003377309,0.003384936,0.004221636,0.004233562,1.031937488,Locus_10286_Transcri,6,100.4047619,0.01308572,3,,2,0.011951624,0.012047876,0.029879061,0.030490528,72,0.027777778,0.028305246,-0.447361477,,,316.5952381,0.001383332,1,,3,0.001052869,0.001053609,0.010002256,0.010069552,-0.933020529,Locus_10286_Transcri,6,100.8809524,0,0,,1,0,0,0.009912674,0.009978764,72.42857143,0.013806706,0.013935371,,,,316.1190476,0.001385415,1,,4,0.001687128,0.001689029,0.013707916,0.013834735,0.850567552
