locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta
Locus_11708_,6,68.23809524,0,0,0,0,0,0,0,0,48.71428571,0,0,#N/A,#N/A,#N/A,210.7619048,0.002077967,1,0.437956283,1,0.001581563,0.001583233,0.005535472,0.005556001,-0.933020529,0
Locus_15548_,6,238.6428571,0.00367039,2,0.875912356,2,0.003911005,0.003921238,0.011174299,0.011258379,163.5238095,0.006115317,0.006140385,0.310634244,#N/A,#N/A,817.3571429,0.00214328,4,1.751825217,6,0.00220222,0.002205459,0.008768097,0.008819753,0.149079133,0.875912356
Locus_29387_,6,56,0.007820647,1,0.437956232,3,0.005952381,0.005976127,0.056547619,0.058792975,37.33333333,0.026785714,0.027275733,-0.933020529,#N/A,#N/A,178,0,0,0,2,0,0,0.011235955,0.01132097,#N/A,0.437956232
Locus_10211_,6,242.047619,0.021712564,12,5.255474419,10,0.018729097,0.018966917,0.0523313,0.054246644,177.5714286,0.045052293,0.046462186,-0.835903321,#N/A,#N/A,756.952381,0.002892891,5,2.18978073,1,0.002554102,0.002558461,0.002862355,0.002867831,-0.655431697,5.255474419
Locus_3111_,6,65.85714286,0,0,0,6,0,0,0.091106291,0.097133232,43.38095238,0.069154775,0.072553652,#N/A,#N/A,#N/A,213.1428571,0,0,0,2,0,0,0.009383378,0.009442571,#N/A,0
Locus_2327_,6,356.9285714,0.007362081,6,2.627737054,17,0.007844707,0.007886021,0.052298045,0.054210896,253.7619048,0.039407018,0.04048005,0.375219196,#N/A,#N/A,1137.071429,0.000770323,2,0.875912274,12,0.000586301,0.000586531,0.010846577,0.010925774,-1.131972245,2.627737054
Locus_4857_,6,363.5,0.006024157,5,2.18978107,3,0.007152682,0.007187008,0.013296653,0.013415932,259.952381,0.007693717,0.007733451,1.048441975,#N/A,#N/A,1151.5,0.002282012,6,2.627736818,3,0.00231582,0.002319403,0.004052685,0.004063674,0.084795299,2.18978107
Locus_3170_,6,1036.809524,0.006758521,16,7.007298941,18,0.005915584,0.005939036,0.02154044,0.02185582,732,0.017759563,0.01797321,-0.771336984,#N/A,#N/A,3394.190476,0.00232256,18,7.883211032,38,0.002121272,0.002124277,0.012472292,0.012577161,-0.53900224,7.007298941
Locus_2290_,6,345.7380952,0.007600369,6,2.627737101,10,0.007520143,0.007558099,0.033262172,0.034022313,224.4285714,0.031190325,0.031857443,-0.06041665,#N/A,#N/A,1226.261905,0.001785737,5,2.189781255,6,0.001848436,0.001850718,0.005980234,0.006004204,0.196505139,2.627737101
Locus_8416_,6,462.1428571,0.000947664,1,0.437956149,3,0.000721278,0.000721625,0.006852138,0.006883631,298.6666667,0.003348214,0.00335571,-0.933020529,#N/A,#N/A,1520.857143,0.0008639,3,1.313868486,5,0.000657524,0.000657812,0.003616382,0.003625129,-1.233111763,0.437956149
Locus_10727_,6,730.0952381,0.006598479,11,4.817518097,0,0.005843986,0.005866874,0.003652492,0.003661414,471.7619048,0,0,-0.691532967,#N/A,#N/A,2464.904762,0.000177677,1,0.437956883,0,0.000216371,0.000216402,0.000135232,0.000135244,0.850567552,4.817518097
Locus_12097_,6,302.4047619,0.004344735,3,1.313868553,5,0.004188647,0.004200387,0.01928982,0.019542222,193.7619048,0.025804866,0.026259246,-0.185444715,#N/A,#N/A,972.5952381,0.000900593,2,0.875912463,7,0.000959632,0.000960246,0.00788269,0.007924407,0.310634244,1.313868553
Locus_5256_,6,102.3333333,0.004279702,1,0.437956171,2,0.003257329,0.003264423,0.021172638,0.021477238,69.04761905,0.028965517,0.029539683,-0.933020529,#N/A,#N/A,386.6666667,0.001132645,1,0.437956067,1,0.00137931,0.00138058,0.004310345,0.004322779,0.850567552,0.437956171
