locus, samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  
Locus_11708_Transcri,6,68,0.006440532,1,0.437956176,0,0.007843137,0.007884435,0.009803922,0.009868563,48,0,0,0.850567552,,,211,0,0,,0,0,0,0,0,
Locus_15548_Transcri,6,239.1666667,0,0,0,0,0,0,0,0,164.3333333,0,0,,,,816.8333333,0,0,,0,0,0,0,0,
Locus_29387_Transcri,6,56,0,0,0,0,0,0,0,0,37.33333333,0,0,,,,178,0,0,,0,0,0,0,0,
Locus_10211_Transcri,6,242.3333333,0.003614494,2,0.875912379,0,0.004401651,0.004414618,0.005502063,0.005522344,177.6666667,0,0,1.031937488,,,756.6666667,0,0,,0,0,0,0,0,
Locus_3111_Transcrip,6,65.38095238,0,0,0,0,0,0,0,0,42.23809524,0,0,,,,213.6190476,0.002050174,1,,0,0.002496656,0.002500821,0.00312082,0.003127331,0.850567552
Locus_2327_Transcrip,6,356.6904762,0.012278326,10,4.379561948,0,0.014952273,0.015103331,0.017755824,0.017969381,252.3333333,0,0,1.307979549,,,1137.309524,0.002310486,6,,0,0.002813658,0.002818949,0.003517072,0.003525345,1.24649089
Locus_4857_Transcrip,6,364.1190476,0.001202783,1,0.4379562,0,0.001464722,0.001466155,0.001830903,0.001833141,259.7142857,0,0,0.850567552,,,1150.880952,0.00152216,4,,0,0.001853652,0.001855947,0.001737799,0.001739816,1.180586266
Locus_3170_Transcrip,6,1034.452381,0.00127011,3,1.313868314,0,0.001546712,0.001548309,0.00193339,0.001935886,728.7619048,0,0,1.124139096,,,3396.547619,0.00167624,13,,0,0.002041288,0.002044071,0.002551611,0.002555961,1.33148361
Locus_2290_Transcrip,6,344.2142857,0.002544672,2,0.875912455,0,0.003098845,0.003105264,0.003873556,0.003883594,221.9047619,0,0,1.031937488,,,1227.785714,0.001426816,4,,0,0.00157465,0.001576306,0.001493203,0.001494691,0.561681986
Locus_8416_Transcrip,6,462.047619,0.003791438,4,1.7518249,0,0.004617129,0.004631399,0.005771411,0.005793732,297.8095238,0,0,1.180586266,,,1520.952381,0.000575897,2,,0,0.000701315,0.000701643,0.000876644,0.000877156,1.031937488
Locus_10727_Transcri,6,730.8571429,0.000599236,1,0.437955911,10,0.000729737,0.000730092,0.01413865,0.014273617,472.7142857,0.010577214,0.010652507,0.850567552,,,2464.142857,0.000710927,4,,7,0.000865751,0.000866251,0.003517112,0.003525385,1.180586266
Locus_12097_Transcri,6,301.2380952,0.004361562,3,1.313868629,0,0.005311413,0.00533031,0.006639267,0.006668828,191.047619,0,0,1.124139096,,,973.7619048,0.001799028,4,,0,0.001985427,0.00198806,0.002225048,0.002228355,0.561681986
Locus_5256_Transcrip,6,103.5714286,0.004228543,1,0.437956239,0,0.005149425,0.005167184,0.006436782,0.006464562,70.0952381,0,0,0.850567552,,,385.4285714,0.001136284,1,,0,0.001383741,0.001385019,0.001729676,0.001731674,0.850567552
Locus_6944_Transcrip,6,243,0.001802289,1,0.437956227,0,0.002194787,0.002198005,0.002743484,0.002748514,164.6666667,0,0,0.850567552,,,795,0,0,,0,0,0,0,0,
Locus_329_Transcript,6,323.5,0.001353806,1,0.437956241,0,0.001648635,0.001650449,0.002060793,0.00206363,245.3333333,0,0,0.850567552,,,954.5,0.001835332,4,,0,0.002235027,0.002238364,0.002793784,0.002799,1.180586266
Locus_309_Transcript,6,348.5714286,0.003769295,3,1.313868543,0,0.004590164,0.004604268,0.005737705,0.005759765,219.4761905,0,0,1.124139096,,,1235.428571,0.00141799,4,,0,0.001564909,0.001566544,0.002293401,0.002296915,0.561681986
Locus_3927_Transcrip,6,560.3809524,0.000781533,1,0.437956207,0,0.000951734,0.000952338,0.001189667,0.001190611,342.0952381,0,0,0.850567552,,,1959.619048,0.000670471,3,,0,0.000816485,0.00081693,0.001020607,0.001021302,1.124139096
Locus_4539_Transcrip,6,722.3333333,0.000606308,1,0.437956479,0,0.000738348,0.000738712,0.000922935,0.000923503,471.1904762,0,0,0.850567552,,,2484.666667,0.001762636,10,,0,0.002066005,0.002068856,0.002750201,0.002755256,1.033704246
Locus_3130_Transcrip,6,413.3333333,0.001059571,1,0.437956013,0,0.001290323,0.001291434,0.001612903,0.00161464,279.6666667,0,0,0.850567552,,,1332.666667,0.000328631,1,,0,0.000250125,0.000250167,0.000125063,0.000125073,-0.933020529
Locus_19047_Transcri,6,292.1190476,0.002998478,2,0.875912538,0,0.003651479,0.003660397,0.004564349,0.004578295,196.3333333,0,0,1.031937488,,,940.8809524,0.000465475,1,,0,0.000566845,0.000567059,0.000708556,0.000708891,0.850567552
Locus_111_Transcript,6,241.3809524,0.001814378,1,0.43795629,0,0.002209509,0.00221277,0.002761886,0.002766984,158.7619048,0,0,0.850567552,,,847.6190476,0.00206676,4,,0,0.002516854,0.002521086,0.003146067,0.003152684,1.180586266
Locus_10286_Transcri,6,101.1666667,0.004329056,1,0.437956165,0,0.005271829,0.005290444,0.006589786,0.006618907,73,0,0,0.850567552,,,315.8333333,0.002773337,2,,0,0.003377309,0.003384936,0.004221636,0.004233562,1.031937488
Locus_8863_Transcrip,6,364.1666667,0.002405251,2,0.875912239,0,0.002929062,0.002934796,0.003661327,0.003670293,236,0,0,1.031937488,,,1201.833333,0.000364407,1,,0,0.000443766,0.000443898,0.000554708,0.000554913,0.850567552
Locus_2005_Transcrip,6,412.6428571,0.002122689,2,0.875912454,0,0.002584963,0.002589428,0.003231204,0.003238185,234.6666667,0,0,1.031937488,,,1480.357143,0.00059169,2,,0,0.000720547,0.000720893,0.000900684,0.000901225,1.031937488
Locus_3428_Transcrip,6,684.2380952,0.000640064,1,0.437956172,0,0.000779456,0.000779861,0.00097432,0.000974953,444.5714286,0,0,0.850567552,,,2252.761905,0.000777634,4,,0,0.000946986,0.000947584,0.001183732,0.001184667,1.180586266
Locus_4106_Transcrip,6,716.6190476,0.000611142,1,0.437955998,0,0.000744235,0.000744605,0.000930294,0.000930872,468.7619048,0,0,0.850567552,,,2286.380952,0.00019155,1,,0,0.000233265,0.000233302,0.000291582,0.000291638,0.850567552
Locus_22378_Transcri,6,190.1666667,0.006909037,3,1.313868536,0,0.008413672,0.008461221,0.01051709,0.010591526,125,0,0,1.124139096,,,607.8333333,0.00144104,2,,0,0.001425829,0.001427186,0.002467782,0.002471851,-0.050017378
Locus_798_Transcript,6,842.4285714,0.002079494,4,1.75182516,13,0.002532361,0.002536646,0.017805664,0.018020431,552.6666667,0.012665862,0.012774031,1.180586266,,,2763.571429,0.000792374,5,,9,0.000964935,0.000965556,0.00422159,0.004233516,1.218829342
Locus_5556_Transcrip,6,119,0.003680304,1,0.437956176,0,0.00280112,0.002806364,0.00140056,0.00140187,87.33333333,0,0,-0.933020529,,,358,0,0,,0,0,0,0,0,
Locus_2637_Transcrip,6,631.452381,0.00069357,1,0.437956428,0,0.000844614,0.00084509,0.001055767,0.001056511,422.7142857,0,0,0.850567552,,,2056.547619,0.001490699,7,,0,0.00181534,0.001817541,0.002107091,0.002110057,1.267443555
Locus_10051_Transcri,6,426.8571429,0.004104007,4,1.751824702,0,0.004997769,0.005014495,0.006247211,0.006273375,292.9047619,0,0,1.180586266,,,1373.142857,0.001275778,4,,0,0.001553614,0.001555225,0.001942017,0.001944536,1.180586266
Locus_7979_Transcrip,6,307.8571429,0.001422596,1,0.43795634,0,0.001732405,0.001734409,0.002165507,0.002168639,194.2380952,0,0,0.850567552,,,1081.142857,0.000810173,2,,0,0.00098661,0.00098726,0.001233263,0.001234278,1.031937488
Locus_3286_Transcrip,6,988.2619048,0.001329474,3,1.313868508,0,0.001619004,0.001620754,0.002023755,0.00202649,603.9047619,0,0,1.124139096,,,3556.738095,0.001231342,10,,0,0.001499501,0.001501002,0.001874377,0.001876723,1.307979549
Locus_805_Transcript,6,651.8095238,0.001343817,2,0.875912719,0,0.00163647,0.001638258,0.002045587,0.002048382,440.3333333,0,0,1.031937488,,,2096.190476,0.000835718,4,,0,0.001017719,0.00101841,0.001272149,0.001273229,1.180586266
Locus_524_Transcript,6,6,0,0,0,0,0,0,0,0,3,0,0,,,,30,0,0,,0,0,0,0,0,
Locus_7973_Transcrip,6,133.547619,0.006558802,2,0.875912391,0,0.007987163,0.008029998,0.009983954,0.010051003,79.76190476,0,0,1.031937488,,,490.452381,0.001785928,2,,0,0.001767076,0.001769161,0.001699112,0.001701039,-0.050017378
Locus_6921_Transcrip,6,154.1666667,0.014203985,5,2.189781021,0,0.017297297,0.017499883,0.021621622,0.021939407,106.3333333,0,0,1.218829342,,,514.8333333,0.000850676,1,,0,0.001035934,0.00103665,0.001294917,0.001296037,0.850567552
Locus_3900_Transcrip,6,85.5,0,0,0,0,0,0,0,0,62.33333333,0,0,,,,289.5,0,0,,0,0,0,0,0,
Locus_12708_Transcri,6,127.6666667,0.003430466,1,0.437956159,0,0.004177546,0.004189224,0.005221932,0.005240196,74,0,0,0.850567552,,,466.3333333,0,0,,0,0,0,0,0,
Locus_24605_Transcri,6,56.66666667,0,0,0,0,0,0,0,0,36,0,0,,,,195.3333333,0.002242097,1,,0,0.002730375,0.002735357,0.003412969,0.003420758,0.850567552
Locus_1214_Transcrip,6,73.5,0,0,0,0,0,0,0,0,50.33333333,0,0,,,,253.5,0.001727638,1,,0,0.002103879,0.002106835,0.002629849,0.00263447,0.850567552
Locus_15521_Transcri,6,88.11904762,0,0,0,0,0,0,0,0,60.0952381,0,0,,,,286.8809524,0.001526613,1,,0,0.001859075,0.001861383,0.002323844,0.002327452,0.850567552
Locus_3940_Transcrip,6,128.3333333,0,0,0,0,0,0,0,0,101.3333333,0,0,,,,375.6666667,0,0,,0,0,0,0,0,
Locus_27321_Transcri,6,69.97619048,0,0,0,0,0,0,0,0,36.47619048,0,0,,,,257.0238095,0.005111856,3,,0,0.006225104,0.006251083,0.00778138,0.007822028,1.124139096
Locus_5151_Transcrip,6,159,0.002754442,1,0.437956278,0,0.003354298,0.003361821,0.004192872,0.004204636,118,0,0,0.850567552,,,516,0,0,,0,0,0,0,0,
Locus_24285_Transcri,6,223.1904762,0.001962253,1,0.437956181,0,0.002389588,0.002393403,0.002986985,0.002992949,148.8571429,0,0,0.850567552,,,733.8095238,0.001193651,2,,0,0.001453602,0.001455012,0.001817002,0.001819207,1.031937488
Locus_717_Transcript,6,113.6666667,0.003852987,1,0.437956189,0,0.002932551,0.0029383,0.001466276,0.001467711,84.66666667,0,0,-0.933020529,,,423.3333333,0,0,,0,0,0,0,0,
Locus_7892_Transcrip,6,103.4047619,0.004235358,1,0.437956186,0,0.005157725,0.005175542,0.006447156,0.006475027,72.76190476,0,0,0.850567552,,,352.5952381,0.004968373,4,,0,0.005483152,0.005503294,0.006144912,0.006170224,0.561681986
Locus_12528_Transcri,6,228.3333333,0.001918056,1,0.43795612,0,0.002335766,0.002339411,0.002919708,0.002925406,149.3333333,0,0,0.850567552,,,791.6666667,0.000553208,1,,0,0.000673684,0.000673987,0.000842105,0.000842578,0.850567552
Locus_8282_Transcrip,6,299.8333333,0.002921331,2,0.875912411,0,0.003557532,0.003565996,0.004446915,0.004460151,202.2857143,0,0,1.031937488,,,1002.166667,0.002185047,5,,0,0.002660901,0.002665633,0.002993514,0.002999504,1.218829342
Locus_4222_Transcrip,6,80.0952381,0.005467943,1,0.437956197,0,0.00665874,0.006688475,0.008323424,0.008369955,54.33333333,0,0,0.850567552,,,273.9047619,0.003197872,2,,0,0.003894298,0.003904443,0.004867872,0.004883738,1.031937488
Locus_14472_Transcri,6,72.16666667,0.006068677,1,0.43795619,0,0.0073903,0.007426952,0.009237875,0.009295239,46.33333333,0,0,0.850567552,,,248.8333333,0.001760038,1,,0,0.002143336,0.002146404,0.002679169,0.002683966,0.850567552
Locus_4208_Transcrip,6,373.7857143,0,0,0,0,0,0,0,0,255.7619048,0,0,,,,1210.214286,0.001447533,4,,0,0.001762773,0.001764848,0.002203467,0.00220671,1.180586266
Locus_11392_Transcri,6,117,0,0,0,0,0,0,0,0,78.66666667,0,0,,,,405,0,0,,0,0,0,0,0,
Locus_4955_Transcrip,6,65.4047619,0,0,0,0,0,0,0,0,43.85714286,0,0,,,,204.5952381,0.004281196,2,,0,0.005213546,0.005231751,0.006516932,0.006545411,1.031937488
Locus_620_Transcript,6,232.3333333,0.001885034,1,0.437956233,0,0.002295552,0.002299073,0.00286944,0.002874944,154.6666667,0,0,0.850567552,,,799.6666667,0.000547673,1,,0,0.000666945,0.000667241,0.000833681,0.000834144,0.850567552
Locus_17755_Transcri,6,52,0,0,0,0,0,0,0,0,29.66666667,0,0,,,,188,0.002329554,1,,0,0.002836879,0.002842258,0.003546099,0.003554509,0.850567552
Locus_6906_Transcrip,6,125.1666667,0,0,0,0,0,0,0,0,88,0,0,,,,396.8333333,0,0,,0,0,0,0,0,
Locus_457_Transcript,6,135.3095238,0.003236699,1,0.4379562,0,0.00394158,0.003951974,0.004926975,0.00494323,90.80952381,0,0,0.850567552,,,434.6904762,0.002015026,2,,0,0.002453853,0.002457876,0.003067317,0.003073606,1.031937488
Locus_11238_Transcri,6,65.83333333,0,0,0,0,0,0,0,0,37,0,0,,,,264.1666667,0,0,,0,0,0,0,0,
Locus_11988_Transcri,6,366.0714286,0.002392736,2,0.875912286,0,0.002913821,0.002919496,0.003642276,0.003651149,227.6666667,0,0,1.031937488,,,1337.928571,0.000982017,3,,0,0.001195878,0.001196833,0.001245707,0.001246742,1.124139096
Locus_658_Transcript,6,621.1190476,0.000705108,1,0.437956009,0,0.000858665,0.000859157,0.001073332,0.0010741,443.4285714,0,0,0.850567552,,,1934.880952,0.000679044,3,,0,0.000826924,0.00082738,0.001033655,0.001034368,1.124139096
Locus_2561_Transcrip,6,249.3333333,0.005269527,3,1.313868732,0,0.006417112,0.006444723,0.00802139,0.008064594,167.3333333,0,0,1.124139096,,,872.6666667,0,0,,0,0,0,0,0,
Locus_2904_Transcrip,6,460.7857143,0,0,0,0,0,0,0,0,301.4761905,0,0,,,,1495.214286,0.000585811,2,,0,0.000713387,0.000713727,0.0006688,0.000669099,1.031937488
Locus_8332_Transcrip,6,264.3809524,0.001656535,1,0.437956301,0,0.002017291,0.002020009,0.002521614,0.002525862,176.0952381,0,0,0.850567552,,,884.6190476,0.001485237,3,,0,0.001808688,0.001810873,0.00226086,0.002264275,1.124139096
Locus_10016_Transcri,6,209.8333333,0,0,0,0,0,0,0,0,143.6666667,0,0,,,,696.1666667,0,0,,0,0,0,0,0,
Locus_13014_Transcri,6,229.1666667,0.001911082,1,0.437956292,0,0.002327273,0.002330891,0.001454545,0.001455958,146,0,0,0.850567552,,,763.8333333,0,0,,0,0,0,0,0,
Locus_7577_Transcrip,6,188.6428571,0.004643231,2,0.875912362,0,0.005654424,0.005675847,0.00706803,0.007101545,156.1428571,0,0,1.031937488,,,516.3571429,0.000848165,1,,0,0.001032877,0.001033589,0.001291096,0.001292209,0.850567552
Locus_568_Transcript,6,141.5,0,0,0,1,0,0,0.007067138,0.007100645,90.33333333,0.011070111,0.011152622,,,,506.5,0,0,,1,0,0,0.001974334,0.001976937,
Locus_27239_Transcri,6,137.3333333,0,0,0,0,0,0,0,0,77.66666667,0,0,,,,483.6666667,0,0,,0,0,0,0,0,
Locus_9359_Transcrip,6,71.5,0.006125262,1,0.437956233,0,0.004662005,0.004676555,0.002331002,0.002334632,42.66666667,0,0,-0.933020529,,,267.5,0,0,,0,0,0,0,0,
Locus_174_Transcript,6,214.8809524,0,0,0,2,0,0,0.009307479,0.009365714,135.4761905,0.014762742,0.014909969,,,,730.1190476,0.001199684,2,,2,0.001460949,0.001462374,0.004565466,0.004579418,1.031937488
Locus_7282_Transcrip,6,257.7857143,0.006795663,4,1.751824841,0,0.007499769,0.007537519,0.010991041,0.011072372,150.6190476,0,0,0.561681986,,,930.2142857,0.000941624,2,,0,0.001146689,0.001147567,0.001433361,0.001434733,1.031937488
Locus_7515_Transcrip,6,135.6190476,0.003229312,1,0.437956218,0,0.002457865,0.002461901,0.001228933,0.001229941,73.23809524,0,0,-0.933020529,,,503.3809524,0.000870029,1,,0,0.001059502,0.001060251,0.001324378,0.001325549,0.850567552
