locus, samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  
Locus_9508_Transcrip,2,218.6666667,0,0,,3,0,0,0.013719512,0.013846547,154.6666667,0.019396552,0.019651779,,,,660.3333333,0,0,,1,0,0,0.001514387,0.001515918,
Locus_111_Transcript,2,241.4444444,0,0,,4,0,0,0.016566958,0.016752674,159.3333333,0.018828452,0.019068824,,,,847.5555556,0.001179864,1,,8,0.001179864,0.001180793,0.010028841,0.010096497,
Locus_174_Transcript,2,215.1666667,0,0,,1,0,0,0.00464756,0.00466202,136.3333333,0.007334963,0.007371067,,,,729.8333333,0,0,,0,0,0,0,0,
Locus_329_Transcript,2,323.9444444,0,0,,5,0,0,0.015434745,0.015595779,245.8888889,0.01626751,0.016446525,,,,954.0555556,0.001048157,1,,8,0.001048157,0.00104889,0.008909334,0.008962675,
Locus_457_Transcript,2,135.5,0,0,,1,0,0,0.007380074,0.007416624,91.22222222,0,0,,,,434.5,0.002301496,1,,5,0.002301496,0.002305034,0.012658228,0.012766266,
Locus_468_Transcript,2,1029.722222,0.000971136,1,,2,0.000971136,0.000971765,0.002427839,0.002431777,612,0.001633987,0.001635769,,,,3824.277778,0,0,,3,0,0,0.000784462,0.000784872,
Locus_524_Transcript,2,6.111111111,0,0,,1,0,0,0.163636364,0.184599802,3,0,0,,,,29.88888889,0,0,,0,0,0,0,0,
Locus_539_Transcript,2,173.2777778,0,0,,1,0,0,0.00577108,0.005793399,118.2222222,0,0,,,,531.7222222,0,0,,0,0,0,0,0,
Locus_568_Transcript,2,141.5,0.007067138,1,,0,0.007067138,0.007100645,0.003533569,0.003541919,90.33333333,0,0,,,,506.5,0,0,,0,0,0,0,0,
Locus_597_Transcript,2,294.5555556,0.003394945,1,,5,0.003394945,0.003402652,0.018672199,0.018908565,187.2222222,0.021364985,0.021675199,,,,1025.444444,0,0,,9,0,0,0.008776682,0.00882844,
