 locus , samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  
Locus_14_Transcript_,12,3232.666667,0.002048707,20,6.622785536,0,0.002245074,0.002248441,0.001520932,0.001522476,2120.666667,0,0,0.421019953,,,10720.33333,0.000308889,10,,0,0.000224722,0.000224755,0.000132148,0.000132159,-1.121013252
Locus_16_Transcript_,12,394.1538462,0.005880889,7,2.317974938,0,0.006650226,0.006679885,0.004862737,0.00487857,272.4615385,0,0,0.511936976,,,1291.846154,0.003844954,15,,0,0.004480316,0.004493752,0.00387043,0.003880451,0.709483135
Locus_17_Transcript_,12,171.474359,0.03669147,19,6.291646259,0,0.045240442,0.046662386,0.034990654,0.035833195,126.3076923,0,0,1.019690309,,,530.525641,0.024966882,40,,0,0.032557761,0.033285574,0.028902153,0.029473776,1.384822199
Locus_18_Transcript_,12,284.3717949,0.009315671,8,2.649114214,0,0.005168223,0.005186113,0.002637392,0.00264204,182.7692308,0,0,-1.777869128,,,936.6282051,0.004242528,12,,0,0.002280909,0.002284384,0.001156631,0.001157524,-1.942374491
Locus_20_Transcript_,12,54,0,0,0,0,0,0,0,0,34.33333333,0,0,,,,177,0,0,,0,0,0,0,0,
Locus_21_Transcript_,12,347.2051282,0.007629825,8,2.649114214,0,0.006807608,0.006838692,0.004800236,0.004815664,224.2564103,0,0,-0.430333082,,,1119.794872,0.002957142,10,,0,0.002692593,0.002697438,0.00186046,0.001862771,-0.368047973
Locus_23_Transcript_,12,57.66666667,0.0057423,1,0.331139277,0,0.002890173,0.002895756,0.001445087,0.001446481,38.33333333,0,0,-1.140533405,,,194.3333333,0,0,,0,0,0,0,0,
Locus_26_Transcript_,12,367,0.002706861,3,0.99341783,0,0.002229378,0.002232698,0.002270663,0.002274107,241,0,0,-0.578636747,,,1205,0,0,,0,0,0,0,0,
Locus_27_Transcript_,12,301.3974359,0.005493399,5,1.655696384,0,0.004021671,0.004032492,0.002211919,0.002215187,221.3589744,0,0,-0.987590429,,,895.6025641,0.000739478,2,,0,0.00072746,0.000727813,0.000465236,0.00046538,-0.047490647
Locus_30_Transcript_,12,389.0897436,0.00595743,7,2.317974938,0,0.00755454,0.007592845,0.007710303,0.00775021,267.5384615,0,0,1.049104074,,,1257.910256,0.000526491,2,,0,0.00026499,0.000265037,0.000132495,0.000132507,-1.451383229
Locus_33_Transcript_,12,314.8333333,0.001051792,1,0.331139277,0,0.001540016,0.0015416,0.001058761,0.001059509,198.3333333,0,0,1.065894718,,,1065.166667,0.00031088,1,,0,0.00015647,0.000156486,7.82E-05,7.82E-05,-1.140533405
Locus_34_Transcript_,12,572.8717949,0.020809218,36,11.92101396,0,0.028855153,0.029424894,0.024874675,0.025296529,397.1794872,0,0,1.753796212,,,1869.128205,0.001062975,6,,0,0.001142973,0.001143845,0.000936265,0.00093685,0.287018925
Locus_35_Transcript_,12,391.5769231,0.017758771,21,6.953924813,0,0.021204085,0.021509599,0.021281472,0.021589242,276.5641026,0,0,0.855029446,,,1234.423077,0.00187778,7,,0,0.002147979,0.002151061,0.001552682,0.001554292,0.563095747
Locus_36_Transcript_,12,160.4871795,0.010316689,5,1.655696384,0,0.013217331,0.013335183,0.008308036,0.008354395,114.6410256,0,0,1.036439629,,,472.5128205,0.005606439,8,,0,0.007695799,0.007735555,0.006701758,0.00673188,1.488192814
