locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY,D_mlhka
Locus_10016_,6,209.8333333,0.006261487,3,1.313868689,0,0.008260524,0.008306352,0.006354249,0.00638132,143.6666667,0,0,1.64797262,#N/A,#N/A,696.1666667,0,0,0,0,0,0,0,0,#N/A,1.313868689,0.00001,0.03863,0.00001,0.00001,0.00006,#N/A,#N/A,0.0001,0.0001,0.0001,999,999,#N/A,#N/A,NO,NO,0.01259
Locus_10051_,6,426.452381,0.005134878,5,2.189780949,5,0.005315169,0.005334093,0.014851209,0.015000218,292.3333333,0.010262258,0.010333114,0.196505139,#N/A,#N/A,1373.547619,0.001275402,4,1.75182538,8,0.001116331,0.001117162,0.006431035,0.006458766,-0.676126573,2.189780949,0,0.00579,0.00289,0.00875,0.21818,0.00417,0.00756,999,0.0001,1.0243,0.2252,0.1812,0.4734,0.0001,YES,YES,93.04338049
Locus_10211_,6,242.047619,0.021712564,12,5.255474419,10,0.018729097,0.018966917,0.0523313,0.054246644,177.5714286,0.045052293,0.046462186,-0.835903321,#N/A,#N/A,756.952381,0.002892891,5,2.18978073,1,0.002554102,0.002558461,0.002862355,0.002867831,-0.655431697,5.255474419,0.00573,0.00593,0,0.00875,0.72477,0.02039,0.00937,0.0001,0.0001,0.0001,0.1173,0.0377,0.0001,0.1093,YES,YES,175.4288528
Locus_10675_,6,103.047619,0.008500074,2,0.875912387,1,0.006469501,0.006497565,0.012939002,0.013051914,66.33333333,0,0,-1.131972245,#N/A,#N/A,352.952381,0,0,0,4,0,0,0.011332974,0.01141947,#N/A,0.875912387,0.00001,0.00801,0.00001,0.02417,0.21377,0,0.00001,0.0001,0.0001,0.0001,0.0001,0.1327,999,999,YES,YES,22.02848951
Locus_10691_,6,223.8095238,0.001956826,1,0.437956295,11,0.002382979,0.002386772,0.05212766,0.05402776,160.1428571,0.037466548,0.038434759,0.850567552,#N/A,#N/A,724.1904762,0,0,0,6,0,0,0.008285113,0.008331215,#N/A,0.437956295,0,0.00001,0.00487,0.00236,0.20699,#N/A,0.01702,999,0.0001,0.1628,0.3361,0.2912,#N/A,0.1866,NO,YES,46.32633333
Locus_10727_,6,730.0952381,0.006598479,11,4.817518097,0,0.005843986,0.005866874,0.003652492,0.003661414,471.7619048,0,0,-0.691532967,#N/A,#N/A,2464.904762,0.000177677,1,0.437956883,0,0.000216371,0.000216402,0.000135232,0.000135244,0.850567552,4.817518097,0.00596,0.00487,0,0.0048,0.21479,0.00436,0.00897,0.0001,0.2319,999,0.2355,0.1151,0.085,0.2105,YES,YES,156.8171562
Locus_10734_,6,77.61904762,0,0,0,1,0,0,0.012883436,0.012995375,48.85714286,0.020467836,0.020752312,#N/A,#N/A,#N/A,267.3809524,0.001637948,1,0.437956096,1,0.002243989,0.002247353,0.005609973,0.00563106,1.445096912,0,0,0,0,0.00001,0.1681,#N/A,#N/A,0.0001,0.0001,999,999,0.2397,#N/A,#N/A,NO,NO,13.0477619
Locus_111_,6,241.4761905,0.005440986,3,1.313868572,3,0.006349832,0.006376865,0.017254979,0.017456567,159.3333333,0.012552301,0.012658528,0.862222334,#N/A,#N/A,847.5238095,0.001550244,3,1.313868701,7,0.001179908,0.001180837,0.008849309,0.00890193,-1.233111763,1.313868572,0.00001,0.00001,0.00001,0.00001,2.91977,0.00001,#N/A,999,0.0001,999,0.0001,0.2383,999,#N/A,YES,NO,705.0549367
Locus_11392_,6,115.8809524,0.007558726,2,0.875912368,0,0.005753031,0.005775209,0.002876515,0.002882046,76.95238095,0,0,-1.131972245,#N/A,#N/A,406.1190476,0.003235181,3,1.313868627,2,0.002954799,0.002960635,0.006566219,0.006595132,-0.447361477,0.875912368,0,0,0,0,0.35164,#N/A,#N/A,3.8394,4.0942,3.374,3.7075,0.282,#N/A,#N/A,NO,NO,40.7483781
Locus_11662_,6,245.2619048,0.00714267,4,1.75182485,5,0.00788273,0.007924447,0.026502281,0.02698186,157,0.012738854,0.01284828,0.561681986,#N/A,#N/A,888.7380952,0.000985569,2,0.875912716,4,0.000750127,0.000750503,0.004875827,0.004891745,-1.131972245,1.75182485,0.00723,0.01457,0.00001,0.0109,0.56057,0.00915,0.013,0.0001,0.0001,0.0001,0.4251,0.1368,0.2996,0.3592,YES,YES,137.486466
Locus_11708_,6,68.23809524,0,0,0,0,0,0,0,0,48.71428571,0,0,#N/A,#N/A,#N/A,210.7619048,0.002077967,1,0.437956283,1,0.001581563,0.001583233,0.005535472,0.005556001,-0.933020529,0,0.00001,0.00472,0,0.00001,0.19026,0.00473,0.00001,0.0001,0.0001,999,0.0001,0.4159,0.259,999,YES,YES,12.98298
