locus,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY
Locus_10016_,0.00001,0.03863,0.00001,0.00001,0.00006,#N/A,#N/A,0.0001,0.0001,0.0001,999,999,#N/A,#N/A,NO,NO
Locus_10025_,0.00001,0,0.00001,0,0.70234,0.01756,0.0081,0.0001,999,0.0001,999,0.2235,0.0001,1.4211,YES,YES
Locus_10051_,0,0.00579,0.00289,0.00875,0.21818,0.00417,0.00756,999,0.0001,1.0243,0.2252,0.1812,0.4734,0.0001,YES,YES
Locus_10081_,0.00001,0.00001,0.01129,0.01589,0.36691,#N/A,#N/A,0.0001,0.0001,0.2629,0.3279,0.1601,#N/A,#N/A,NO,NO
Locus_10211_,0.00573,0.00593,0,0.00875,0.72477,0.02039,0.00937,0.0001,0.0001,0.0001,0.1173,0.0377,0.0001,0.1093,YES,YES
Locus_10251_,0.00001,0.00001,0.01809,0.00597,0.36206,#N/A,#N/A,0.0001,0.0001,0.633,2.1885,0.3342,#N/A,#N/A,NO,NO
Locus_10275_,0,0,0.01487,0.00736,0.24135,#N/A,#N/A,999,999,0.3672,1.1128,0.2107,#N/A,#N/A,NO,NO
Locus_10451_,0,0,0,0.01444,0.1536,#N/A,0.01462,125.2244,8.5051,138.0788,0.3342,0.7336,#N/A,0.6607,NO,YES
Locus_10482_,0,0,64.55009,0,0.13724,#N/A,#N/A,4.0619,10.642,0.0363,999,0.6567,#N/A,#N/A,NO,NO
Locus_10675_,0.00001,0.00801,0.00001,0.02417,0.21377,0,0.00001,0.0001,0.0001,0.0001,0.0001,0.1327,999,999,YES,YES
Locus_10691_,0,0.00001,0.00487,0.00236,0.20699,#N/A,0.01702,999,0.0001,0.1628,0.3361,0.2912,#N/A,0.1866,NO,YES
Locus_10717_,0.00835,0.00001,0.01465,0.02037,0.20447,0.06512,0.01985,0.0001,999,0.0001,0.275,0.1294,0.1718,1.0019,YES,YES
