locus, samp_sizetot , SynSitestot , theta_syntot , S_Syntot ,  S_Syn_freq> , D_Syntot  , pi_Syntot  , pi_JC_Syntot  , Dxy_Syntot  , Dxy_JC_Syntot , SynSites_4-foldtot  , D_4-foldtot , D_JC_4-foldtot , TajD_Syntot  , Fu&LiD_Syntot ,, RepSitestot  , theta_reptot , S_Reptot  , S_Rep_freq> , D_Reptot  , pi_Reptot  , pi_JC_Reptot  , Dxy_Reptot  , Dxy_JC_Reptot  , TajD_Reptot  
Locus_9508_Transcrip,4,218.8,0,0,0,3,0,0,0.013711152,0.013838031,154.6666667,0.019396552,0.019651779,,,,660.2,0.000826196,1,,1,0.000757346,0.000757729,0.001893366,0.00189576,-0.612372436
Locus_111_Transcript,4,241.2666667,0.006782386,3,1.636363636,3,0.007598784,0.007637541,0.017615363,0.017825528,158.9333333,0.012583893,0.012690658,1.089762668,,,847.7333333,0.000643427,1,,8,0.000786411,0.000786823,0.010026738,0.010094365,1.632993162
Locus_174_Transcript,4,215.1666667,0,0,0,1,0,0,0.00464756,0.00466202,136.3333333,0.007334963,0.007371067,,,,729.8333333,0,0,,0,0,0,0,0,
Locus_329_Transcript,4,324.3666667,0,0,0,5,0,0,0.015414654,0.015575266,246.4,0.016233766,0.016412033,,,,953.6333333,0.000571975,1,,8,0.000524311,0.000524494,0.008651124,0.008701405,-0.612372436
Locus_457_Transcript,4,135.7,0.004019562,1,0.545454545,1,0.003684598,0.003693679,0.012896094,0.013008255,91.46666667,0,0,-0.612372436,,,434.3,0.00125594,1,,5,0.001151278,0.001152162,0.012088418,0.012186898,-0.612372436
Locus_468_Transcript,4,1029.7,0.001059444,2,1.090909091,1,0.000971157,0.000971786,0.001942313,0.001944833,612,0.001633987,0.001635769,-0.709896168,,,3824.3,0.000142629,1,,3,0.000130743,0.000130754,0.000849829,0.000850311,-0.612372436
Locus_524_Transcript,4,6.133333333,0,0,0,1,0,0,0.163043478,0.183841844,3,0,0,,,,29.86666667,0,0,,0,0,0,0,0,
Locus_539_Transcript,4,173.2333333,0,0,0,1,0,0,0.005772561,0.005794891,118.2,0,0,,,,531.7666667,0.00102574,1,,0,0.000940262,0.000940852,0.000470131,0.000470278,-0.612372436
Locus_568_Transcript,4,141.5,0,0,0,0,0,0,0,0,90.33333333,0,0,,,,506.5,0,0,,0,0,0,0,0,
Locus_597_Transcript,4,294.4666667,0.001852347,1,0.545454545,5,0.001697985,0.00169991,0.017828843,0.018044174,187.1333333,0.021375134,0.021685645,-0.612372436,,,1025.533333,0.000531874,1,,9,0.000487551,0.00048771,0.009019697,0.009074372,-0.612372436
Locus_620_Transcript,4,232.4666667,0.007039132,3,1.636363636,3,0.006452538,0.006480455,0.016131345,0.016307354,155.2,0.006443299,0.006471136,-0.754451078,,,799.5333333,0,0,,2,0,0,0.002501459,0.00250564,
Locus_658_Transcript,4,621.5,0,0,0,3,0,0,0.004827031,0.004842632,444,0,0,,,,1934.5,0,0,,2,0,0,0.001033859,0.001034572,
Locus_798_Transcript,4,842.9333333,0.000647091,1,0.545454545,2,0.000593167,0.000593401,0.00266925,0.002674011,553.2666667,0.001807447,0.001809628,-0.612372436,,,2763.066667,0,0,,0,0,0,0,0,
Locus_805_Transcript,4,651.4666667,0.001674543,2,1.090909091,5,0.002046664,0.002049462,0.009209988,0.009267004,441,0.004535147,0.004548915,1.893056448,,,2096.533333,0.000520339,2,,9,0.00063597,0.00063624,0.004769779,0.00478501,1.893056448
Locus_851_Transcript,4,476.0333333,0.002291665,2,1.090909091,2,0.002450809,0.002454822,0.006827253,0.006858517,323.3333333,0.003092784,0.003099178,0.59158014,,,1485.966667,0,0,,1,0,0,0.000672963,0.000673265,
Locus_967_Transcript,4,715.9333333,0.000761879,1,0.545454545,4,0.000698389,0.000698714,0.005936307,0.005959925,449.4666667,0.002224859,0.002228166,-0.612372436,,,2512.066667,0.000217134,1,,1,0.000199039,0.000199066,0.000497598,0.000497763,-0.612372436
Locus_1052_Transcrip,4,131.5,0.004147943,1,0.545454545,0,0.005069708,0.005086921,0.003802281,0.003811952,89.33333333,0,0,1.632993162,,,450.5,0.002421552,2,,2,0.002589715,0.002594197,0.006104329,0.006129306,0.59158014
Locus_1214_Transcrip,4,73.76666667,0.007394323,1,0.545454545,1,0.006778129,0.006808944,0.016945323,0.017139686,51.13333333,0.019556714,0.019816212,-0.612372436,,,253.2333333,0,0,,2,0,0,0.007897854,0.007939733,
Locus_1528_Transcrip,4,497.1333333,0.004388799,4,2.181818182,25,0.004358321,0.004371034,0.053808502,0.055836333,315.4,0.044388079,0.045755855,-0.065010249,,,1611.866667,0.002030396,6,,7,0.002067996,0.002070852,0.005583588,0.005604476,0.179690564
Locus_1638_Transcrip,4,386.0333333,0,0,0,2,0,0,0.0051809,0.005198877,219,0.00456621,0.004580167,,,,1449.966667,0,0,,5,0,0,0.003448355,0.003456307,
Locus_1657_Transcrip,4,199.8333333,0,0,0,1,0,0,0.00500417,0.005020939,133.6666667,0,0,,,,661.1666667,0,0,,0,0,0,0,0,
Locus_1698_Transcrip,4,281.2,0.003879478,2,1.090909091,3,0.003556188,0.003564645,0.012446657,0.012551094,164.2666667,0.012175325,0.012275233,-0.709896168,,,1014.8,0,0,,3,0,0,0.002956248,0.002962089,
Locus_1734_Transcrip,4,107.1666667,0,0,0,2,0,0,0.018662519,0.018898638,77.66666667,0.025751073,0.026203539,,,,351.8333333,0,0,,0,0,0,0,0,
Locus_1773_Transcrip,4,58.16666667,0,0,0,0,0,0,0,0,37.33333333,0,0,,,,217.8333333,0,0,,0,0,0,0,0,
Locus_1873_Transcrip,4,293.8,0.001856551,1,0.545454545,0,0.001701838,0.001703772,0.000850919,0.000851402,177.7333333,0,0,-0.612372436,,,1038.2,0.00105077,2,,4,0.000963206,0.000963825,0.004334425,0.004346998,-0.709896168
Locus_2005_Transcrip,4,411.9333333,0.001324133,1,0.545454545,8,0.001213789,0.001214772,0.020027513,0.020299771,234.4,0.021331058,0.021640278,-0.612372436,,,1481.066667,0.000368285,1,,4,0.000337595,0.000337671,0.002869553,0.002875057,-0.612372436
Locus_2014_Transcrip,4,257.5,0.00847308,4,2.181818182,2,0.00776699,0.007807488,0.011650485,0.011741923,163.6666667,0,0,-0.780122994,,,885.5,0,0,,0,0,0,0,0,
Locus_2057_Transcrip,4,191.3333333,0,0,0,3,0,0,0.015679443,0.01584566,115,0.017391304,0.017596115,,,,669.6666667,0,0,,1,0,0,0.00149328,0.001494769,
Locus_2068_Transcrip,4,260.2666667,0,0,0,7,0,0,0.026895492,0.027389585,166.2666667,0.030072173,0.03069168,,,,897.7333333,0.003037954,5,,15,0.002784791,0.002789974,0.018101144,0.018323157,-0.796843874
Locus_2289_Transcrip,4,138.3333333,0,0,0,2,0,0,0.014457831,0.014599001,97.33333333,0.010273973,0.010344992,,,,431.6666667,0,0,,1,0,0,0.002316602,0.002320187,
Locus_2300_Transcrip,4,114.0666667,0.004781893,1,0.545454545,1,0.004383402,0.004396261,0.010958504,0.011039351,79.33333333,0.012605042,0.012712169,-0.612372436,,,392.9333333,0,0,,3,0,0,0.007634883,0.00767401,
Locus_2356_Transcrip,4,201.2,0,0,0,3,0,0,0.014910537,0.015060747,132.4,0.01510574,0.015259936,,,,647.8,0,0,,0,0,0,0,0,
Locus_2496_Transcrip,4,36.5,0,0,0,0,0,0,0,0,26.66666667,0,0,,,,107.5,0,0,,0,0,0,0,0,
Locus_2561_Transcrip,4,249.3333333,0.004375304,2,1.090909091,9,0.004010695,0.004021457,0.038101604,0.039103506,167.3333333,0.029880478,0.030492004,-0.709896168,,,872.6666667,0,0,,1,0,0,0.001145913,0.001146789,
Locus_2597_Transcrip,4,121.1666667,0,0,0,0,0,0,0,0,75.66666667,0,0,,,,427.8333333,0,0,,0,0,0,0,0,
Locus_2618_Transcrip,4,280.7333333,0.001942963,1,0.545454545,5,0.00178105,0.001783168,0.018701021,0.018938123,184,0.027173913,0.027678418,-0.612372436,,,1015.266667,0,0,,3,0,0,0.002954889,0.002960725,
Locus_2769_Transcrip,4,310.1666667,0,0,0,3,0,0,0.009672219,0.009735129,214.6666667,0.00931677,0.009375122,,,,1057.833333,0,0,,1,0,0,0.000945329,0.000945925,
Locus_2785_Transcrip,4,260.4333333,0,0,0,2,0,0,0.007679509,0.007719096,189.8,0.005268704,0.005287297,,,,741.5666667,0,0,,1,0,0,0.001348496,0.00134971,
Locus_3111_Transcrip,4,65.8,0.024868748,3,1.636363636,4,0.022796353,0.023149986,0.087386018,0.092910462,43.26666667,0.046224961,0.047710837,-0.754451078,,,213.2,0,0,,2,0,0,0.009380863,0.009440024,
Locus_3170_Transcrip,4,1036.433333,0.00052628,1,0.545454545,17,0.000643232,0.000643508,0.016884829,0.017077796,732,0.016393443,0.01657526,1.632993162,,,3394.566667,0.000321369,2,,38,0.000294588,0.000294646,0.011341654,0.011428284,-0.709896168
Locus_3231_Transcrip,4,331.2666667,0.003293145,2,1.090909091,1,0.003018716,0.003024807,0.004528074,0.004541798,197.4666667,0,0,-0.709896168,,,1189.733333,0.000916936,2,,1,0.000840524,0.000840996,0.001260787,0.001261848,-0.709896168
Locus_3286_Transcrip,4,987.3,0.001104942,2,1.090909091,21,0.001012863,0.001013548,0.021776562,0.022098964,602.0666667,0.014948511,0.015099492,-0.709896168,,,3557.7,0.0009199,6,,23,0.000890088,0.000890617,0.006956742,0.006989207,-0.314458488
Locus_3428_Transcrip,4,685.6666667,0.002386529,3,1.636363636,5,0.002430724,0.002434672,0.008750608,0.008802057,448.0666667,0.004463621,0.004476957,0.167655795,,,2251.333333,0.000726842,3,,7,0.000666272,0.000666568,0.003442405,0.003450329,-0.754451078
Locus_3699_Transcrip,4,320.3666667,0.003405189,2,1.090909091,4,0.003121423,0.003127937,0.014046405,0.014179605,201.1333333,0.019887305,0.020155731,-0.709896168,,,1086.633333,0.000501967,1,,4,0.000460137,0.000460278,0.003911163,0.003921397,-0.612372436
Locus_3746_Transcrip,4,97.76666667,0.011158293,2,1.090909091,2,0.011933174,0.012029127,0.028128196,0.028669231,58.33333333,0.017142857,0.017341813,0.59158014,,,349.2333333,0,0,,1,0,0,0.002863415,0.002868895,
Locus_3786_Transcrip,4,1.333333333,0,0,0,0,0,0,0,0,1,0,0,,,,4.666666667,0,0,,0,0,0,0,0,
Locus_3862_Transcrip,4,102.1666667,0.00533887,1,0.545454545,1,0.004893964,0.004910001,0.01223491,0.012335804,59,0.016949153,0.017143604,-0.612372436,,,344.8333333,0,0,,0,0,0,0,0,
Locus_3892_Transcrip,4,223.1333333,0.009778092,4,2.181818182,1,0.008963251,0.009017241,0.013444876,0.013566846,143.6666667,0.006960557,0.006993058,-0.780122994,,,778.8666667,0.00420191,6,,3,0.00385175,0.003861675,0.006419584,0.006447216,-0.80860754
Locus_3896_Transcrip,4,93.1,0.005858803,1,0.545454545,0,0.007160759,0.007195163,0.005370569,0.00538989,59.66666667,0,0,1.632993162,,,323.9,0,0,,1,0,0,0.003087373,0.003093745,
Locus_3900_Transcrip,4,85.5,0,0,0,3,0,0,0.035087719,0.035935017,62.33333333,0.016042781,0.016216848,,,,289.5,0,0,,0,0,0,0,0,
Locus_3927_Transcrip,4,560.8,0.002917909,3,1.636363636,6,0.00267475,0.002679531,0.012036377,0.012134005,343.2,0.008741259,0.008792598,-0.754451078,,,1959.2,0,0,,5,0,0,0.002552062,0.002556414,
Locus_3940_Transcrip,4,128.6666667,0.008478568,2,1.090909091,1,0.007772021,0.007812571,0.011658031,0.011749588,101.9333333,0.009810334,0.00987506,-0.709896168,,,375.3333333,0.001453254,1,,2,0.001332149,0.001333334,0.005994671,0.006018757,-0.612372436
Locus_4106_Transcrip,4,715.4,0.000762447,1,0.545454545,9,0.00069891,0.000699236,0.012929829,0.013042581,466.1333333,0.010726545,0.01080399,-0.612372436,,,2287.6,0,0,,3,0,0,0.001311418,0.001312566,
Locus_4117_Transcrip,4,119.3666667,0.018278287,4,2.181818182,7,0.016755096,0.016945087,0.075397934,0.079462666,84.33333333,0.035573123,0.036444416,-0.780122994,,,369.6333333,0.005902655,4,,2,0.005410767,0.005430379,0.010821535,0.010900364,-0.780122994
Locus_4208_Transcrip,4,374.2,0.004372965,3,1.636363636,6,0.004008552,0.004019302,0.018038482,0.018258949,257.2,0.0155521,0.015715609,-0.754451078,,,1209.8,0.00135259,3,,3,0.001239874,0.0012409,0.003099686,0.003106109,-0.754451078
Locus_4222_Transcrip,4,79.73333333,0,0,0,4,0,0,0.050167224,0.051923844,53.53333333,0.0373599,0.038322512,,,,274.2666667,0,0,,2,0,0,0.007292173,0.007327855,
